Mã số sinh viên;Họ;Tên;Lớp;Điểm
N23DCCN001;Nguyễn Văn;A;D23CQCN03-N;10
N23DCCN002;Nguyễn Văn;B;D23CQCN01-N;10
N23DCCN003;Mô Ha Mách Bu Ba;Ka;D23CQCN03-N;10
N23DCCN004;Nguyễn Văn;Tùng;D23CQCN02-N;5
N23DCCN005;Trần Văn;Tân;D23CQCN01-N;5.5
N23DCCN005;Tô Hoàng;Phi;D23CQCN03-N;10
N23DCCN008;Nguyễn Văn;Tân;D23CQCN03-N;5
N23DCCN009;Nguyễn Hữu;Đạt;D23CQQT01-N;7.5
N23DCC N010;Lương Văn;Hân;D23CQDT01-N;3.75
N23D@CCN;011;Võ Thị;Mai;D23CQCN0 1-N;9
N23DCCN012;Lê@ Hoàng;Tú;D2@3CQCN03-N;6
N23DCCN013;Đinh Công;Minh;D23CQCN02-N;4.5
N23DCCN014;Bùi Ngọc;Thái;D23CQQT01-N;7
N23DCCN015;Phan Văn;Cường;D23CQCN01-N;8
N23DCCN016;Trịnh Thị;Yến;D23CQCN03-N;9.25
N23DCCN017;Lâm Hữu;Nghĩa;D23CQCN02-N;6.75
N23DCCN018;Ngô Văn;Khang;D23CQDT01-N;5.5
N23DCCN019;Hoàng Thị;Bích;D23CQQT01-N;11
N23DCCN020;Đào Minh;D23CQCN03-N;3
