Mã số sinh viên;Họ;Tên;Lớp;Điểm
N21DCCN007;Ngô Vân;Anh;D21CQCN01-N;7.2
N22DCCN123;Trần Thụy Kim;Hoa;D22CQCN03-N;8.5
N21DCCN456;Lê Hồng;Minh;D21CQCN02-N;6.7
N22DCDK789;Phạm Văn;Quân;D22CQDK01-N;7.9
N23DCAT101;Đặng Thị Thu;Hương;D23CQAT01-N;8
N23DCCN234;Nguyễn Văn;An;D23CQCN04-N;7.4
N21DCDK321;Trần Thị Mai;Lan;D21CQDK02-N;6.8
N22DCCN654;Lê Thị Kim;Hoa;D22CQCN05-N;8.3
N23DCAT987;Phạm Trần Ðức;Minh;D23CQAT03-N;7.1
N22DCDK852;Hoàng Văn;Quân;D22CQDK02-N;6.5
N23DCCN111;Nguyễn Thị;Hoa;D23CQCN06-N;7.7
N23DCCN333;Nguyễn Văn;Bình;D23CQCN07-N;6.9
N21DCDK456;Trần Thị Mai;Hoa;D21CQDK04-N;7
N22DCDK777;Lê Thị Kim;Hoa;D22CQDK06-N;8.6
N23DCAT222;Phạm Hữu;Minh;D23CQAT05-N;7.3
N23DCAT888;Lê Hữu;Minh;D23CQAT04-N;6.8
N23DCCN999;Hoàng Văn;Quân;D23CQCN08-N;7
N22DCDK444;Hoàng Văn;Quân;D22CQDK03-N;6.7
N21DCCN555;Phan Hữu;Bảo;D21CQCN09-N;8.4
N23DCCN321;Nguyễn Thị;Hoa;D23CQCN11-N;7.5
N21DCDK319;Nguyễn Thị;Hoa;D21CQDK05-N;7.5
N22DCCN678;Lê Hoài Thanh;Phương;D22CQCN07-N;6.3
N21DCDK789;Phạm Văn;Huy;D21CQDK06-N;6.3
N23DCCN987;Trần Ðức;Minh;D23CQCN12-N;9.8
N22DCAT654;Lý Thị Thanh;Hà;D22CQAT01-N;3.5
N23DCDK321;Bùi Văn;Nam;D23CQDK07-N;6.9
N23DCCN147;Nguyễn Văn;An;D23CQCN13-N;7.2
N22DCCN258;Nguyễn Trúc;Anh;D22CQCN08-N;7.4
N21DCCN369;Trần Thị Kim Bông;Hoa;D21CQCN10-N;8.5
N23DCCN148;Mai Kim;Lan;D23CQCN14-N;8
N21DCDK951;Hoàng Văn;Quân;D21CQDK07-N;7.9
N22DCCN753;Ðặng Ngọc Châu;An;D22CQCN09-N;7.8
N23DCCN852;Nguyễn Văn;Bình;D23CQCN15-N;6.9
N23DCDK159;Trần Thị Mai;Lan;D23CQDK08-N;7.8
N22DCDK357;Lê Thị Kim;Hoa;D22CQDK10-N;8.2
N23DCAT456;Phạm Hữu;Minh;D23CQAT06-N;7.1
N23DCAT951;Nguyễn Việt;Nam;D23CQAT07-N;6.6
N23DCCN753;Mai Thanh;Hoa;D23CQCN16-N;7.7
N23DCCN654;Hồ Văn;Bình;D23CQCN17-N;6.9
N23DCDK852;Trần Thị Mai;Hoa;D23CQDK09-N;7.9
N21DCDK357;Lê Trần Kim;Hoa;D21CQDK08-N;8.7
N22DCAT258;Phan Nhật;Minh;D22CQAT02-N;7.3
N23DCAT369;Lê Nhật;Minh;D23CQAT08-N;6.8
N23DCCN456;Hoàng Vũ Hồng;Quân;D23CQCN18-N;7.1
